ImpressionID,UserID,SessionID,AdID,AdCategory,Timestamp,Device,OS,Browser,Location,PageID,Referrer,ImpressionCost,ClickID,ClickPosition,ClickCost
imp0,user94,sess134,ad36,Services,2023-01-15 14:24:02,Mobile,macOS,Firefox,Germany,page25,Google,1.192770477552202,click0,Popup,0.801100065954055
imp1,user74,sess171,ad49,Entertainment,2023-01-20 18:37:52,Desktop,macOS,Firefox,India,page95,LinkedIn,0.345810510212152,click1,Footer,0.07944603261287501
imp2,user11,sess88,ad13,Apparel,2023-11-08 06:25:32,Desktop,Android,Safari,Australia,page36,Google,0.8593764965486381,click2,Popup,1.8513677573153091
imp3,user25,sess144,ad26,Apparel,2023-12-12 01:58:50,Mobile,Windows,Safari,Australia,page11,Facebook,1.128223499157815,click3,Footer,0.2537202441425566
imp4,user50,sess179,ad11,Services,2023-09-28 01:32:34,Mobile,macOS,Safari,Spain,page64,Direct,0.7781737934332975,click4,Footer,1.3706255930596096
imp5,user15,sess135,ad48,Apparel,2023-01-21 04:28:40,Tablet,macOS,Firefox,China,page40,Twitter,0.021859259389506162,click5,Sidebar,1.4586449070049876
imp6,user70,sess80,ad22,Education,2023-11-06 11:08:04,Mobile,Linux,Edge,India,page83,Twitter,1.3441609001747552,click6,Header,1.284740313082788
imp7,user10,sess27,ad42,Apparel,2023-04-15 08:22:52,Tablet,iOS,Chrome,Spain,page94,Facebook,1.044571052917842,click7,Sidebar,0.4021909212193593
imp8,user15,sess131,ad26,Electronics,2023-03-19 07:08:18,Desktop,Android,Chrome,Germany,page61,Direct,0.759829427434238,click8,Popup,1.1738211869466797
imp9,user99,sess56,ad34,Electronics,2023-09-04 14:20:37,Mobile,iOS,Safari,Spain,page24,Direct,0.20903588990201344,click9,Footer,0.10299486660092985
imp10,user46,sess38,ad12,Entertainment,2023-10-24 23:39:35,Mobile,macOS,Opera,India,page54,Google,0.7295372988862662,click10,Sidebar,1.3110891476049493
imp11,user27,sess112,ad37,Services,2023-11-15 19:52:45,Desktop,macOS,Safari,Germany,page33,Twitter,0.644350349859187,click11,Sidebar,0.7077570772612751
imp12,user54,sess91,ad30,Health,2023-07-31 22:48:03,Mobile,macOS,Edge,Germany,page75,Facebook,0.4088546981833062,click12,Footer,1.6586612807449437
imp13,user28,sess16,ad17,Health,2023-09-18 05:30:23,Tablet,Windows,Safari,Japan,page27,LinkedIn,1.3878821743174155,click13,Header,0.9203681644314011
imp14,user52,sess142,ad24,Entertainment,2023-09-23 06:04:22,Tablet,Windows,Opera,Australia,page77,Google,0.5674041010854424,click14,Footer,0.7178570726517273
imp15,user46,sess172,ad24,Entertainment,2023-09-21 01:31:19,Tablet,iOS,Edge,USA,page30,Direct,0.45548242055080007,click15,Sidebar,0.36233251317543347
imp16,user90,sess128,ad49,Services,2023-07-19 18:20:22,Mobile,Android,Opera,India,page53,Facebook,0.6560643889782901,click16,Footer,1.256064897913476
imp17,user34,sess112,ad1,Health,2023-03-01 12:06:57,Tablet,Windows,Opera,France,page17,Google,1.3208337443613962,click17,Sidebar,1.6991508073384036
imp18,user23,sess124,ad12,Services,2023-07-22 05:20:21,Tablet,Windows,Opera,India,page81,LinkedIn,1.2375187279038826,click18,Popup,1.5271561035185504
imp19,user12,sess97,ad25,Apparel,2023-02-23 17:51:03,Tablet,macOS,Edge,Germany,page44,Twitter,0.04569574553603921,click19,Banner,0.41726537024774946
imp20,user1,sess106,ad9,Electronics,2023-11-16 01:38:25,Desktop,iOS,Edge,Canada,page38,LinkedIn,0.18715996909714486,click20,Popup,1.9031632082248133
imp21,user48,sess89,ad25,Health,2023-02-17 10:48:51,Desktop,macOS,Safari,India,page63,Google,0.5905954595257152,click21,Popup,1.3790132556603463
imp22,user24,sess135,ad36,Apparel,2023-08-30 01:01:27,Tablet,Android,Firefox,USA,page81,Google,1.1074119013604269,click22,Banner,1.7552673936196437
imp23,user93,sess165,ad2,Services,2023-01-23 22:21:50,Mobile,Linux,Firefox,China,page93,Google,0.5467898861040238,click23,Header,0.2608227321408533
imp24,user69,sess109,ad39,Services,2023-01-01 19:15:01,Tablet,macOS,Opera,India,page76,LinkedIn,1.3839058291219084,click24,Sidebar,1.9539527521742335
imp25,user47,sess14,ad23,Education,2023-10-24 11:17:34,Tablet,Windows,Chrome,France,page25,Google,0.09367132854491371,click25,Footer,1.4641177695878511
imp26,user59,sess143,ad19,Health,2023-04-21 15:31:02,Desktop,macOS,Safari,France,page55,LinkedIn,0.3493997049050446,click26,Footer,1.3997394480815597
imp27,user60,sess193,ad21,Health,2023-02-23 02:55:43,Mobile,Windows,Chrome,Germany,page5,Google,0.48386222405981005,click27,Sidebar,1.0009658142978102
imp28,user12,sess12,ad43,Apparel,2023-06-16 11:36:17,Desktop,Windows,Chrome,Australia,page30,Facebook,0.7623295503181657,click28,Sidebar,0.7717028369685193
imp29,user77,sess155,ad50,Apparel,2023-02-03 04:12:50,Desktop,Linux,Edge,Australia,page64,Twitter,0.9432340163523104,click29,Popup,0.7961686904650517
